Date,Time,Nitrogen oxides as nitrogen dioxide,Status
05/01/2016,15:00:00,68.80936,V ugm-3
05/01/2016,16:00:00,87.0221,V ugm-3
05/01/2016,17:00:00,90.50093,V ugm-3
05/01/2016,18:00:00,107.99744,V ugm-3
05/01/2016,19:00:00,85.94775,V ugm-3
05/01/2016,20:00:00,80.72949,V ugm-3
05/01/2016,21:00:00,50.34083,V ugm-3
05/01/2016,22:00:00,36.16968,V ugm-3
05/01/2016,23:00:00,52.54068,V ugm-3
05/01/2016,24:00:00,41.23446,V ugm-3
06/01/2016,01:00:00,36.80096,V ugm-3
06/01/2016,02:00:00,55.98716,V ugm-3
06/01/2016,03:00:00,49.15842,V ugm-3
06/01/2016,04:00:00,40.40204,V ugm-3
06/01/2016,05:00:00,35.026,V ugm-3
06/01/2016,06:00:00,41.78573,V ugm-3
06/01/2016,07:00:00,53.25595,V ugm-3
06/01/2016,08:00:00,52.69177,V ugm-3
06/01/2016,09:00:00,83.67283,V ugm-3
06/01/2016,10:00:00,No data,V ugm-3
06/01/2016,11:00:00,85.31089,V ugm-3
06/01/2016,12:00:00,68.15672,V ugm-3
06/01/2016,13:00:00,63.65039,V ugm-3
06/01/2016,14:00:00,91.04695,V ugm-3
06/01/2016,15:00:00,89.76606,V ugm-3
06/01/2016,16:00:00,113.32136,V ugm-3
06/01/2016,17:00:00,99.90518,V ugm-3
06/01/2016,18:00:00,133.85588,V ugm-3
06/01/2016,19:00:00,119.7225,V ugm-3
06/01/2016,20:00:00,78.34748,V ugm-3
06/01/2016,21:00:00,72.50909,V ugm-3
06/01/2016,22:00:00,39.89093,V ugm-3
06/01/2016,23:00:00,34.35998,V ugm-3
06/01/2016,24:00:00,40.65784,V ugm-3
07/01/2016,01:00:00,48.68078,V ugm-3
07/01/2016,02:00:00,62.26781,V ugm-3
07/01/2016,03:00:00,64.57222,V ugm-3
07/01/2016,04:00:00,49.00542,V ugm-3
07/01/2016,05:00:00,21.04611,V ugm-3
07/01/2016,06:00:00,12.69948,V ugm-3
07/01/2016,07:00:00,19.35641,V ugm-3
07/01/2016,08:00:00,42.86008,V ugm-3
07/01/2016,09:00:00,73.73787,V ugm-3
07/01/2016,10:00:00,103.28504,V ugm-3
07/01/2016,11:00:00,87.51313,V ugm-3
07/01/2016,12:00:00,43.47495,V ugm-3
07/01/2016,13:00:00,16.84721,V ugm-3
07/01/2016,14:00:00,16.6421,V ugm-3
07/01/2016,15:00:00,19.15178,V ugm-3
07/01/2016,16:00:00,19.0485,V ugm-3
07/01/2016,17:00:00,25.55291,V ugm-3
07/01/2016,18:00:00,25.44964,V ugm-3
07/01/2016,19:00:00,19.81685,V ugm-3
07/01/2016,20:00:00,20.84195,V ugm-3
07/01/2016,21:00:00,20.53403,V ugm-3
07/01/2016,22:00:00,18.74202,V ugm-3
