Date,Time,Nitrogen oxides as nitrogen dioxide,Status
25/09/2016,23:00:00,10.41213,V ugm-3
25/09/2016,24:00:00,8.02246,V ugm-3
26/09/2016,01:00:00,6.732,V ugm-3
26/09/2016,02:00:00,7.497,V ugm-3
26/09/2016,03:00:00,9.92588,V ugm-3
26/09/2016,04:00:00,9.00788,V ugm-3
26/09/2016,05:00:00,12.393,V ugm-3
26/09/2016,06:00:00,20.8845,V ugm-3
26/09/2016,07:00:00,61.16175,V ugm-3
26/09/2016,08:00:00,96.96375,V ugm-3
26/09/2016,09:00:00,96.6195,V ugm-3
26/09/2016,10:00:00,47.90813,V ugm-3
26/09/2016,11:00:00,45.84263,V ugm-3
26/09/2016,12:00:00,45.78525,V ugm-3
26/09/2016,13:00:00,41.94113,V ugm-3
26/09/2016,14:00:00,51.867,V ugm-3
26/09/2016,15:00:00,44.12138,V ugm-3
26/09/2016,16:00:00,43.89188,V ugm-3
26/09/2016,17:00:00,52.0965,V ugm-3
26/09/2016,18:00:00,51.408,V ugm-3
26/09/2016,19:00:00,37.75275,V ugm-3
26/09/2016,20:00:00,36.0315,V ugm-3
26/09/2016,21:00:00,31.55625,V ugm-3
26/09/2016,22:00:00,28.74488,V ugm-3
26/09/2016,23:00:00,22.37625,V ugm-3
26/09/2016,24:00:00,25.58925,V ugm-3
27/09/2016,01:00:00,21.15289,V ugm-3
27/09/2016,02:00:00,21.84776,V ugm-3
27/09/2016,03:00:00,14.53309,V ugm-3
27/09/2016,04:00:00,14.18549,V ugm-3
27/09/2016,05:00:00,15.92252,V ugm-3
27/09/2016,06:00:00,19.57109,V ugm-3
27/09/2016,07:00:00,30.22419,V ugm-3
27/09/2016,08:00:00,35.26172,V ugm-3
27/09/2016,09:00:00,40.58851,V ugm-3
27/09/2016,10:00:00,30.91891,V ugm-3
27/09/2016,11:00:00,31.03509,V ugm-3
27/09/2016,12:00:00,34.27774,V ugm-3
27/09/2016,13:00:00,28.95047,V ugm-3
27/09/2016,14:00:00,27.7346,V ugm-3
27/09/2016,15:00:00,33.50509,V ugm-3
27/09/2016,16:00:00,24.7044,V ugm-3
27/09/2016,17:00:00,27.44485,V ugm-3
27/09/2016,18:00:00,36.59378,V ugm-3
27/09/2016,19:00:00,51.70587,V ugm-3
27/09/2016,20:00:00,45.10536,V ugm-3
27/09/2016,21:00:00,33.46684,V ugm-3
27/09/2016,22:00:00,31.1508,V ugm-3
27/09/2016,23:00:00,16.61771,V ugm-3
27/09/2016,24:00:00,16.73342,V ugm-3
28/09/2016,01:00:00,15.3867,V ugm-3
28/09/2016,02:00:00,15.30893,V ugm-3
28/09/2016,03:00:00,14.51301,V ugm-3
28/09/2016,04:00:00,11.36551,V ugm-3
28/09/2016,05:00:00,9.90818,V ugm-3
28/09/2016,06:00:00,12.23952,V ugm-3
28/09/2016,07:00:00,22.67221,V ugm-3
28/09/2016,08:00:00,40.15724,V ugm-3
28/09/2016,09:00:00,30.42405,V ugm-3
28/09/2016,10:00:00,21.56487,V ugm-3
28/09/2016,11:00:00,23.60455,V ugm-3
28/09/2016,12:00:00,17.54336,V ugm-3
28/09/2016,13:00:00,19.81637,V ugm-3
28/09/2016,14:00:00,14.57038,V ugm-3
28/09/2016,15:00:00,14.4542,V ugm-3
28/09/2016,16:00:00,15.62034,V ugm-3
28/09/2016,17:00:00,18.1262,V ugm-3
28/09/2016,18:00:00,16.66935,V ugm-3
28/09/2016,19:00:00,11.53955,V ugm-3
28/09/2016,20:00:00,11.94834,V ugm-3
28/09/2016,21:00:00,10.25817,V ugm-3
28/09/2016,22:00:00,9.55868,V ugm-3
28/09/2016,23:00:00,7.86803,V ugm-3
28/09/2016,24:00:00,7.11068,V ugm-3
29/09/2016,01:00:00,6.40879,V ugm-3
29/09/2016,02:00:00,9.1443,V ugm-3
29/09/2016,03:00:00,4.92325,V ugm-3
29/09/2016,04:00:00,2.46187,V ugm-3
29/09/2016,05:00:00,2.5202,V ugm-3
29/09/2016,06:00:00,10.78602,V ugm-3
29/09/2016,07:00:00,14.36144,V ugm-3
29/09/2016,08:00:00,24.32604,V ugm-3
29/09/2016,09:00:00,24.20938,V ugm-3
29/09/2016,10:00:00,19.46112,V ugm-3
29/09/2016,11:00:00,20.28158,V ugm-3
29/09/2016,12:00:00,21.80585,V ugm-3
29/09/2016,13:00:00,18.23043,V ugm-3
29/09/2016,14:00:00,14.42025,V ugm-3
29/09/2016,15:00:00,21.9818,V ugm-3
29/09/2016,16:00:00,19.69588,V ugm-3
29/09/2016,17:00:00,24.67794,V ugm-3
29/09/2016,18:00:00,25.32293,V ugm-3
29/09/2016,19:00:00,23.38844,V ugm-3
29/09/2016,20:00:00,18.40638,V ugm-3
29/09/2016,21:00:00,15.8857,V ugm-3
29/09/2016,22:00:00,17.58544,V ugm-3
29/09/2016,23:00:00,24.50247,V ugm-3
29/09/2016,24:00:00,26.4953,V ugm-3
30/09/2016,01:00:00,17.54336,V ugm-3
30/09/2016,02:00:00,20.84689,V ugm-3
30/09/2016,03:00:00,12.68513,V ugm-3
30/09/2016,04:00:00,12.21323,V ugm-3
30/09/2016,05:00:00,12.68561,V ugm-3
30/09/2016,06:00:00,27.14077,V ugm-3
30/09/2016,07:00:00,43.71927,V ugm-3
30/09/2016,08:00:00,69.20764,V ugm-3
30/09/2016,09:00:00,44.13237,V ugm-3
30/09/2016,10:00:00,29.26412,V ugm-3
30/09/2016,11:00:00,26.07789,V ugm-3
30/09/2016,12:00:00,27.13981,V ugm-3
30/09/2016,13:00:00,21.65285,V ugm-3
30/09/2016,14:00:00,23.36453,V ugm-3
30/09/2016,15:00:00,22.36095,V ugm-3
30/09/2016,16:00:00,24.07216,V ugm-3
30/09/2016,17:00:00,30.67985,V ugm-3
30/09/2016,18:00:00,56.28631,V ugm-3
