Date,Time,Nitrogen oxides as nitrogen dioxide,Status
01/01/2015,01:00:00,43.52978,V ugm-3
01/01/2015,02:00:00,24.40414,V ugm-3
01/01/2015,03:00:00,21.53523,V ugm-3
01/01/2015,04:00:00,24.93852,V ugm-3
01/01/2015,05:00:00,16.52639,V ugm-3
01/01/2015,06:00:00,16.6727,V ugm-3
01/01/2015,07:00:00,12.83096,V ugm-3
01/01/2015,08:00:00,18.08317,V ugm-3
01/01/2015,09:00:00,17.11018,V ugm-3
01/01/2015,10:00:00,11.3722,V ugm-3
01/01/2015,11:00:00,9.42719,V ugm-3
01/01/2015,12:00:00,10.05927,V ugm-3
01/01/2015,13:00:00,10.54553,V ugm-3
01/01/2015,14:00:00,10.54553,V ugm-3
01/01/2015,15:00:00,11.17761,V ugm-3
01/01/2015,16:00:00,9.23212,V ugm-3
01/01/2015,17:00:00,10.10852,V ugm-3
01/01/2015,18:00:00,9.42719,V ugm-3
01/01/2015,19:00:00,8.45516,V ugm-3
01/01/2015,20:00:00,8.16303,V ugm-3
01/01/2015,21:00:00,7.28758,V ugm-3
01/01/2015,22:00:00,7.23929,V ugm-3
01/01/2015,23:00:00,5.29476,V ugm-3
01/01/2015,24:00:00,4.95385,V ugm-3
02/01/2015,01:00:00,4.19794,V ugm-3
02/01/2015,02:00:00,10.75208,V ugm-3
02/01/2015,03:00:00,5.02509,V ugm-3
02/01/2015,04:00:00,3.66196,V ugm-3
02/01/2015,05:00:00,3.0294,V ugm-3
02/01/2015,06:00:00,3.9058,V ugm-3
02/01/2015,07:00:00,5.90102,V ugm-3
02/01/2015,08:00:00,8.28591,V ugm-3
02/01/2015,09:00:00,11.35212,V ugm-3
02/01/2015,10:00:00,12.32654,V ugm-3
02/01/2015,11:00:00,13.44583,V ugm-3
02/01/2015,12:00:00,13.10445,V ugm-3
02/01/2015,13:00:00,14.32128,V ugm-3
02/01/2015,14:00:00,11.88762,V ugm-3
02/01/2015,15:00:00,12.13147,V ugm-3
02/01/2015,16:00:00,14.27299,V ugm-3
02/01/2015,17:00:00,22.69277,V ugm-3
02/01/2015,18:00:00,26.29496,V ugm-3
02/01/2015,19:00:00,32.9146,V ugm-3
02/01/2015,20:00:00,30.82185,V ugm-3
02/01/2015,21:00:00,32.2328,V ugm-3
02/01/2015,22:00:00,38.75586,V ugm-3
02/01/2015,23:00:00,41.77282,V ugm-3
02/01/2015,24:00:00,41.14027,V ugm-3
03/01/2015,01:00:00,39.06473,V ugm-3
03/01/2015,02:00:00,40.23263,V ugm-3
03/01/2015,03:00:00,26.06881,V ugm-3
03/01/2015,04:00:00,20.08268,V ugm-3
03/01/2015,05:00:00,8.3036,V ugm-3
03/01/2015,06:00:00,9.27754,V ugm-3
03/01/2015,07:00:00,9.76427,V ugm-3
03/01/2015,08:00:00,11.85654,V ugm-3
03/01/2015,09:00:00,23.39274,V ugm-3
03/01/2015,10:00:00,31.52087,V ugm-3
03/01/2015,11:00:00,40.47663,V ugm-3
03/01/2015,12:00:00,41.0609,V ugm-3
03/01/2015,13:00:00,55.46824,V ugm-3
03/01/2015,14:00:00,37.65378,V ugm-3
03/01/2015,15:00:00,43.34825,V ugm-3
03/01/2015,16:00:00,34.83045,V ugm-3
03/01/2015,17:00:00,40.76876,V ugm-3
03/01/2015,18:00:00,33.22443,V ugm-3
03/01/2015,19:00:00,31.03414,V ugm-3
03/01/2015,20:00:00,34.44126,V ugm-3
03/01/2015,21:00:00,44.66261,V ugm-3
03/01/2015,22:00:00,58.29061,V ugm-3
03/01/2015,23:00:00,144.73465,V ugm-3
03/01/2015,24:00:00,209.22654,V ugm-3
04/01/2015,01:00:00,248.11755,V ugm-3
04/01/2015,02:00:00,106.18646,V ugm-3
04/01/2015,03:00:00,197.41638,V ugm-3
04/01/2015,04:00:00,205.25285,V ugm-3
04/01/2015,05:00:00,150.49606,V ugm-3
04/01/2015,06:00:00,110.92452,V ugm-3
04/01/2015,07:00:00,76.0257,V ugm-3
04/01/2015,08:00:00,142.31821,V ugm-3
04/01/2015,09:00:00,190.11541,V ugm-3
04/01/2015,10:00:00,212.89424,V ugm-3
